EURJPY_time,EURJPY_Open,EURJPY_High,EURJPY_Low,EURJPY_Close,EURJPY_Volume
01.01.2013 00:00:00.000,114.500,114.809,114.292,114.324,14174.9102
02.01.2013 00:00:00.000,114.325,116.007,114.192,115.079,203088.8594
03.01.2013 00:00:00.000,115.082,115.122,113.661,114.259,188862.25
04.01.2013 00:00:00.000,114.257,115.421,114.119,115.220,202316.5469
05.01.2013 00:00:00.000,115.220,115.220,115.220,115.220,0
06.01.2013 00:00:00.000,115.260,115.568,115.244,115.287,9031.1699
07.01.2013 00:00:00.000,115.286,115.290,114.121,114.538,198381.6406
08.01.2013 00:00:00.000,114.538,115.252,113.567,113.724,198159.6875
09.01.2013 00:00:00.000,113.724,115.144,113.705,115.037,197722.9063
10.01.2013 00:00:00.000,115.037,118.599,114.835,118.545,229446.375
11.01.2013 00:00:00.000,118.544,119.354,117.640,119.015,241631.3125
12.01.2013 00:00:00.000,119.015,119.015,119.015,119.015,0
13.01.2013 00:00:00.000,119.338,119.875,119.208,119.569,13636.71
14.01.2013 00:00:00.000,119.569,120.138,118.892,119.678,214532.1406
15.01.2013 00:00:00.000,119.672,119.991,117.607,118.143,276971.0625
16.01.2013 00:00:00.000,118.143,118.200,116.479,117.808,261968.5156
17.01.2013 00:00:00.000,117.808,120.607,117.020,120.133,279803.4375
18.01.2013 00:00:00.000,120.131,120.730,119.359,120.005,242654.1563
19.01.2013 00:00:00.000,120.005,120.005,120.005,120.005,0
20.01.2013 00:00:00.000,119.930,120.264,119.921,120.115,7871.6802
21.01.2013 00:00:00.000,120.115,120.116,118.886,119.303,175494.0156
22.01.2013 00:00:00.000,119.300,120.171,117.341,117.856,278487.3438
23.01.2013 00:00:00.000,117.856,118.343,117.063,117.883,227070.7969
24.01.2013 00:00:00.000,117.883,121.315,117.593,121.050,253186.4375
25.01.2013 00:00:00.000,121.051,122.783,120.673,122.393,234414.7969
26.01.2013 00:00:00.000,122.393,122.393,122.393,122.393,0
27.01.2013 00:00:00.000,122.619,122.915,122.510,122.792,9951.2998
28.01.2013 00:00:00.000,122.791,122.791,121.565,121.631,215968.2656
29.01.2013 00:00:00.000,121.631,122.580,121.226,122.453,243493.3594
30.01.2013 00:00:00.000,122.451,123.873,122.412,123.496,235409.3438
31.01.2013 00:00:00.000,123.488,124.945,122.990,124.847,238657.7031
01.02.2013 00:00:00.000,124.847,126.978,124.679,126.656,271787.5313
02.02.2013 00:00:00.000,126.656,126.656,126.656,126.656,0
03.02.2013 00:00:00.000,126.682,126.878,126.585,126.585,7412.2598
04.02.2013 00:00:00.000,126.583,126.718,124.204,124.521,230600.7656
05.02.2013 00:00:00.000,124.524,127.438,124.028,127.123,272627.6875
06.02.2013 00:00:00.000,127.123,127.717,125.936,126.347,273903.1563
07.02.2013 00:00:00.000,126.347,127.475,124.498,125.290,286439.75
08.02.2013 00:00:00.000,125.290,125.581,123.437,123.939,252839.875
09.02.2013 00:00:00.000,123.939,123.939,123.939,123.939,0
10.02.2013 00:00:00.000,123.935,123.939,123.529,123.715,10656.5098
11.02.2013 00:00:00.000,123.715,126.662,123.624,126.245,229251.7188
12.02.2013 00:00:00.000,126.244,126.955,125.008,125.548,250777.6563
13.02.2013 00:00:00.000,125.547,126.576,124.783,125.367,230840.9531
14.02.2013 00:00:00.000,125.366,125.977,123.823,124.103,246856.6563
15.02.2013 00:00:00.000,124.095,125.291,122.905,124.999,276190.7188
16.02.2013 00:00:00.000,124.999,124.999,124.999,124.999,0
17.02.2013 00:00:00.000,125.165,125.480,125.016,125.084,10252.5801
18.02.2013 00:00:00.000,125.081,125.904,124.896,124.971,185375.5
19.02.2013 00:00:00.000,124.971,125.680,124.563,125.536,210234.9688
20.02.2013 00:00:00.000,125.534,125.910,124.185,124.344,224897.7813
21.02.2013 00:00:00.000,124.338,124.716,122.267,122.893,249915.2813
22.02.2013 00:00:00.000,122.893,123.791,122.570,123.254,208668.9063
23.02.2013 00:00:00.000,123.254,123.254,123.254,123.254,0
24.02.2013 00:00:00.000,124.986,125.003,124.146,124.318,20551.8008
25.02.2013 00:00:00.000,124.318,125.224,118.754,120.692,307113.1875
26.02.2013 00:00:00.000,120.690,121.369,118.984,120.375,349142.625
27.02.2013 00:00:00.000,120.378,121.537,119.225,121.461,287429.8125
28.02.2013 00:00:00.000,121.457,121.835,120.531,120.930,235959.5469
01.03.2013 00:00:00.000,120.929,122.176,120.364,121.997,219150.7031
02.03.2013 00:00:00.000,121.997,121.997,121.997,121.997,0
03.03.2013 00:00:00.000,121.779,121.999,121.451,121.771,9741.5996
04.03.2013 00:00:00.000,121.768,121.993,121.136,121.771,184761.4063
05.03.2013 00:00:00.000,121.771,121.899,121.148,121.732,186080.4531
06.03.2013 00:00:00.000,121.731,122.289,121.506,121.915,185675.5469
07.03.2013 00:00:00.000,121.914,124.670,121.861,124.404,225617.5156
08.03.2013 00:00:00.000,124.403,125.994,123.816,124.887,226600.6094
09.03.2013 00:00:00.000,124.887,124.887,124.887,124.887,0
10.03.2013 00:00:00.000,124.683,125.041,124.667,124.936,14019.0303
11.03.2013 00:00:00.000,124.934,126.050,124.653,125.950,180603.0625
12.03.2013 00:00:00.000,125.953,125.993,124.397,124.897,236604.8438
13.03.2013 00:00:00.000,124.895,125.233,124.190,124.450,237773.2344
14.03.2013 00:00:00.000,124.451,125.251,124.064,124.857,229129.5938
15.03.2013 00:00:00.000,124.855,125.800,124.220,124.626,214997.7656
16.03.2013 00:00:00.000,124.626,124.626,124.626,124.626,0
17.03.2013 00:00:00.000,121.789,122.721,121.627,122.344,33378.5703
18.03.2013 00:00:00.000,122.350,123.964,121.651,123.443,244390.5
19.03.2013 00:00:00.000,123.446,124.140,121.842,122.300,246270.9375
20.03.2013 00:00:00.000,122.300,124.513,122.039,124.148,223937.2969
21.03.2013 00:00:00.000,124.150,124.387,122.055,122.486,258354.9375
22.03.2013 00:00:00.000,122.487,123.472,121.483,122.813,219077.3906
23.03.2013 00:00:00.000,122.813,122.813,122.813,122.813,0
24.03.2013 00:00:00.000,122.294,123.769,122.231,123.496,19404.9102
