Gmt time,Open,High,Low,Close,Volume
12.01.2006 00:00:00.000,249.730,250.510,249.730,250.080,2316.627
13.01.2006 00:00:00.000,250.030,250.740,250.030,250.390,2402.428
14.01.2006 00:00:00.000,250.390,250.390,250.390,250.390,0
15.01.2006 00:00:00.000,250.390,250.390,250.390,250.390,0
16.01.2006 00:00:00.000,248.200,250.650,248.200,249.650,1587.3185
17.01.2006 00:00:00.000,249.740,251.040,249.740,250.900,4504.5527
18.01.2006 00:00:00.000,250.740,252.260,250.740,251.750,5233.8608
19.01.2006 00:00:00.000,251.740,251.850,251.200,251.510,2745.6321
20.01.2006 00:00:00.000,251.590,251.660,249.920,250.720,2230.8259
21.01.2006 00:00:00.000,250.720,250.720,250.720,250.720,0
22.01.2006 00:00:00.000,250.720,250.720,250.720,250.720,0
23.01.2006 00:00:00.000,250.100,251.420,249.840,249.900,1458.6169
24.01.2006 00:00:00.000,250.000,250.170,249.700,249.880,2016.3235
25.01.2006 00:00:00.000,249.710,249.980,248.410,248.780,3003.0349
26.01.2006 00:00:00.000,248.740,251.220,248.740,250.780,3818.1445
27.01.2006 00:00:00.000,250.800,251.890,250.800,251.080,3989.7466
28.01.2006 00:00:00.000,251.080,251.080,251.080,251.080,0
29.01.2006 00:00:00.000,251.080,251.080,251.080,251.080,0
30.01.2006 00:00:00.000,251.130,252.190,250.930,251.720,3432.04
31.01.2006 00:00:00.000,251.920,252.870,251.600,251.950,1716.02
01.02.2006 00:00:00.000,251.950,251.950,251.280,251.310,1758.9205
02.02.2006 00:00:00.000,251.310,251.900,250.670,251.000,3775.2439
03.02.2006 00:00:00.000,251.090,251.170,250.640,250.340,3689.4431
04.02.2006 00:00:00.000,250.340,250.340,250.340,250.340,0
05.02.2006 00:00:00.000,250.340,250.340,250.340,250.340,0
06.02.2006 00:00:00.000,249.990,250.990,249.990,250.540,2187.9255
07.02.2006 00:00:00.000,250.460,250.880,250.020,250.400,3903.9456
08.02.2006 00:00:00.000,250.270,251.520,250.270,251.090,5534.1646
09.02.2006 00:00:00.000,251.270,251.420,250.770,250.640,3346.239
10.02.2006 00:00:00.000,250.790,251.500,250.440,250.890,3346.239
11.02.2006 00:00:00.000,250.890,250.890,250.890,250.890,0
12.02.2006 00:00:00.000,250.890,250.890,250.890,250.890,0
13.02.2006 00:00:00.000,250.520,251.740,250.520,251.460,5577.0649
14.02.2006 00:00:00.000,251.460,252.010,251.420,251.620,1587.3185
15.02.2006 00:00:00.000,251.570,251.600,250.960,250.840,1887.6219
16.02.2006 00:00:00.000,250.870,251.340,250.700,251.310,1758.9205
17.02.2006 00:00:00.000,251.190,251.810,251.190,251.800,5491.2642
18.02.2006 00:00:00.000,251.800,251.800,251.800,251.800,0
19.02.2006 00:00:00.000,251.800,251.800,251.800,251.800,0
20.02.2006 00:00:00.000,251.160,251.900,251.160,251.650,1630.219
21.02.2006 00:00:00.000,251.610,252.770,251.610,252.240,1587.3185
22.02.2006 00:00:00.000,252.290,254.150,252.290,253.630,5019.3584
23.02.2006 00:00:00.000,253.530,253.730,252.740,253.150,4161.3486
24.02.2006 00:00:00.000,253.140,253.170,251.850,251.600,4933.5576
25.02.2006 00:00:00.000,251.600,251.600,251.600,251.600,0
26.02.2006 00:00:00.000,251.600,251.600,251.600,251.600,0
27.02.2006 00:00:00.000,251.500,252.550,251.500,252.290,3861.0449
28.02.2006 00:00:00.000,252.290,253.870,252.290,253.060,2445.3286
01.03.2006 00:00:00.000,253.210,253.760,253.170,253.150,1415.7166
02.03.2006 00:00:00.000,253.100,254.250,253.100,254.080,4933.5576
03.03.2006 00:00:00.000,254.050,254.790,254.050,254.230,4161.3486
04.03.2006 00:00:00.000,254.230,254.230,254.230,254.230,0
05.03.2006 00:00:00.000,254.230,254.230,254.230,254.230,0
06.03.2006 00:00:00.000,254.110,254.830,254.110,254.500,1930.5225
07.03.2006 00:00:00.000,254.570,255.590,254.570,255.180,2359.5276
08.03.2006 00:00:00.000,255.060,259.100,255.050,258.540,4161.3486
09.03.2006 00:00:00.000,258.440,258.940,256.830,258.690,4290.0498
10.03.2006 00:00:00.000,258.690,259.720,257.360,258.690,5577.0649
11.03.2006 00:00:00.000,258.690,258.690,258.690,258.690,0
12.03.2006 00:00:00.000,258.690,258.690,258.690,258.690,0
13.03.2006 00:00:00.000,258.810,264.100,258.400,263.460,1930.5225
14.03.2006 00:00:00.000,262.960,266.400,260.680,262.650,3517.8411
15.03.2006 00:00:00.000,263.750,263.900,261.480,261.540,4290.0498
16.03.2006 00:00:00.000,261.530,262.570,258.600,259.620,3818.1445
17.03.2006 00:00:00.000,259.640,261.410,258.820,260.530,2102.1245
18.03.2006 00:00:00.000,260.530,260.530,260.530,260.530,0
19.03.2006 00:00:00.000,260.530,260.530,260.530,260.530,0
20.03.2006 00:00:00.000,259.390,263.110,259.390,262.120,5148.0601
21.03.2006 00:00:00.000,261.770,264.840,261.770,264.600,4847.7563
22.03.2006 00:00:00.000,264.570,267.770,264.490,264.980,4204.249
23.03.2006 00:00:00.000,265.110,266.600,262.710,264.330,3732.3435
24.03.2006 00:00:00.000,264.150,265.550,263.250,263.600,2745.6321
25.03.2006 00:00:00.000,263.600,263.600,263.600,263.600,0
26.03.2006 00:00:00.000,263.600,263.600,263.600,263.600,0
27.03.2006 00:00:00.000,263.600,266.290,262.800,266.130,2531.1294
28.03.2006 00:00:00.000,266.060,266.660,264.770,265.590,4761.9556
29.03.2006 00:00:00.000,265.650,267.870,265.650,266.220,2831.4331
30.03.2006 00:00:00.000,266.050,266.750,264.790,265.270,3260.438
31.03.2006 00:00:00.000,265.270,266.250,263.700,263.700,2145.0249
01.04.2006 00:00:00.000,263.700,263.700,263.700,263.700,0
02.04.2006 00:00:00.000,263.700,263.700,263.700,263.700,0
03.04.2006 00:00:00.000,263.500,264.680,262.480,262.720,4676.1543
04.04.2006 00:00:00.000,262.550,266.620,262.550,265.420,1415.7166
05.04.2006 00:00:00.000,265.220,267.280,265.220,266.700,3946.8459
06.04.2006 00:00:00.000,266.780,269.280,266.350,268.300,3217.5376
07.04.2006 00:00:00.000,268.070,268.550,266.630,267.760,2531.1294
08.04.2006 00:00:00.000,267.760,267.760,267.760,267.760,0
09.04.2006 00:00:00.000,267.760,267.760,267.760,267.760,0
10.04.2006 00:00:00.000,267.380,268.410,266.220,266.150,4204.249
11.04.2006 00:00:00.000,265.400,266.450,264.400,264.450,3861.0449
12.04.2006 00:00:00.000,264.460,265.900,264.180,265.390,4204.249
13.04.2006 00:00:00.000,265.400,267.890,265.350,266.910,5062.2588
14.04.2006 00:00:00.000,266.920,267.190,266.890,267.180,2273.7266
15.04.2006 00:00:00.000,267.180,267.180,267.180,267.180,0
16.04.2006 00:00:00.000,267.180,267.180,267.180,267.180,0
17.04.2006 00:00:00.000,266.830,268.570,266.740,266.860,4804.856
18.04.2006 00:00:00.000,266.910,268.210,264.280,264.660,2230.8259
19.04.2006 00:00:00.000,264.410,266.500,264.210,265.950,4032.647
20.04.2006 00:00:00.000,265.650,266.460,264.860,265.680,4976.458
